"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"LTA",35.354368465587,2.03590280979888,0.265313278612316,7.67358053259673,1.67260437526177e-14,6.77622937769094e-12,"Up"
"TESPA1",82.1956385582997,2.07495116941253,0.270677792721082,7.66576063944279,1.77774457749253e-14,7.04894637152144e-12,"Up"
"SLAMF6",180.02342396178,2.34976241848096,0.30781621460696,7.63365380696821,2.28192171716813e-14,8.85956106690525e-12,"Up"
"IKZF1",405.543747402027,1.80527271799339,0.236763137797548,7.6248048356964,2.44403863284194e-14,9.29532733911069e-12,"Up"
"TCL1A",32.8833441574489,2.956450844892,0.388246024498116,7.6148901942107,2.63915735037646e-14,9.83666727632313e-12,"Up"
"MAP4K1",376.589288273046,1.58791564717245,0.209026062201717,7.59673521304758,3.03695046838953e-14,1.10973742997857e-11,"Up"
"ZNF831",68.2460543954678,2.33791877778807,0.310256115013689,7.53544785953669,4.86661621818101e-14,1.74412038157733e-11,"Up"
"CD8A",868.45459114878,2.54777476580238,0.33868884062089,7.52246445773577,5.37532329788559e-14,1.89008537696973e-11,"Up"
"XCR1",59.6077701611887,2.30814932760244,0.307017851542918,7.51796456135314,5.56355770935371e-14,1.92004558280585e-11,"Up"
"APOL3",1081.59534576887,1.95278996697429,0.260125030616419,7.50712056562478,6.04420572029751e-14,2.01142531791901e-11,"Up"
"SLC12A3",9.40955507540533,2.37071510370066,0.315737836254818,7.50849227264406,5.98122166271589e-14,2.01142531791901e-11,"Up"
"SECTM1",808.14173534806,1.92467818781761,0.257622772501265,7.47091636787722,7.96382598952181e-14,2.56937077323635e-11,"Up"
"RHOH",112.462917574485,1.96923048078193,0.263605234813457,7.47037699071295,7.99653921698372e-14,2.56937077323635e-11,"Up"
"CD96",220.360268973492,2.14073075521321,0.287723535186556,7.4402351334422,1.00506242470647e-13,3.17463446556438e-11,"Up"
"CD19",44.4113137935307,2.97984168958716,0.401083631533683,7.42947718457794,1.09027750658257e-13,3.38640193544546e-11,"Up"
"ITGAL",891.280348683992,2.05428610172453,0.2769140941169,7.41849600785326,1.18457747449442e-13,3.61898128109476e-11,"Up"
"PRF1",665.905141963256,2.24199404742698,0.303013930495613,7.39898011870262,1.37234394502654e-13,4.12500028379269e-11,"Up"
"NKG7",865.767592032323,2.48240581427728,0.337745091761957,7.34993897713511,1.98297364295518e-13,5.86582489049407e-11,"Up"
"CXCR3",306.93203807377,2.38373760688679,0.325152308819529,7.33114156728885,2.2820044635471e-13,6.6449117472912e-11,"Up"
"SIRPG",168.286997406883,2.44961807997748,0.334532790297179,7.32250515054558,2.43383971775843e-13,6.97800568925326e-11,"Up"
"ARHGAP30",959.98869162858,1.52517423443638,0.209140195652227,7.29259255821175,3.04046543631225e-13,8.58516876835076e-11,"Up"
"LAG3",694.52574519302,2.4652615984853,0.339478604325288,7.26190566084422,3.81674372890975e-13,1.06162441988003e-10,"Up"
"FCRL3",69.2489218256128,2.47124089954485,0.341501364140448,7.23640125352036,4.6074684888721e-13,1.26271739350912e-10,"Up"
"SASH3",491.038387923615,1.67660562710177,0.232059611826069,7.22489197456039,5.01500324847427e-13,1.35448696432705e-10,"Up"
"SLA",560.257886472992,1.5741843115565,0.218085145698746,7.21820968829772,5.26764487807104e-13,1.40239757068189e-10,"Up"
"KLRD1",121.214331220398,2.12267363040832,0.295012684203003,7.19519445797005,6.23718085914633e-13,1.63712820409931e-10,"Up"
"CORO1A",2163.25118955721,1.73200701820636,0.240817723969805,7.1921907974827,6.37598429889851e-13,1.6503172693649e-10,"Up"
"MZB1",556.246647347156,3.01348915939856,0.41939107342871,7.18539175085902,6.7014753198686e-13,1.71080402823385e-10,"Up"
"TOX",146.74059142717,1.87169926099243,0.260809091990209,7.17651078307767,7.15130139678958e-13,1.79340195917978e-10,"Up"
"CCR4",40.2890736138345,1.97765041660827,0.275621096771934,7.17525051518356,7.21749017699523e-13,1.79340195917978e-10,"Up"
"BTLA",29.3094984958349,2.07513358117705,0.289430820117653,7.16970494135182,7.51595772646757e-13,1.84299194987434e-10,"Up"
"FLT3",22.2704580442688,1.88777727005231,0.263675487714289,7.15947199497683,8.09883871906051e-13,1.96012932945989e-10,"Up"
"CD2",593.012429092184,2.11178013136811,0.29584436011764,7.1381456470165,9.45983694935771e-13,2.26017335113116e-10,"Up"
"CD3E",940.70127502909,2.21494260874753,0.310416109656835,7.13539838894361,9.6507229683448e-13,2.27659333212752e-10,"Up"
"P2RY10",83.2966255686814,2.17245495184861,0.304904472354614,7.12503472012695,1.0405445474746e-12,2.4203822966238e-10,"Up"
"ELAPOR1",104.176053538147,1.76302021049511,0.247492621653896,7.12352634479983,1.0520013201681e-12,2.4203822966238e-10,"Up"
"GZMA",310.423655428396,2.11787262041676,0.299783638278324,7.06467048228459,1.60997575994967e-12,3.65896442224659e-10,"Up"
"PRR33",41.3017181732717,1.81716711372651,0.257817209176442,7.04827703135557,1.81146723171977e-12,4.01886944408687e-10,"Up"
"TMPRSS3",20.9059512115552,1.92064166153235,0.272477175220666,7.04881669437786,1.80445670001241e-12,4.01886944408687e-10,"Up"
"TUBA3C",44.0945089080314,6.08025687448819,0.864683921058186,7.03176817148083,2.03932446102499e-12,4.41916868089089e-10,"Up"
"CNR2",10.6301707724356,2.5903805385819,0.368342826699592,7.03252608932854,2.02827364789604e-12,4.41916868089089e-10,"Up"
"RASGRP2",142.425644577823,1.36778090394593,0.194680237965276,7.02578196041603,2.12870663258192e-12,4.55983641434445e-10,"Up"
"CRTAM",54.876402946822,2.12773068236952,0.3032958730962,7.01536311934797,2.29352508438771e-12,4.81366443369127e-10,"Up"
"TRAT1",30.2518369260068,2.41143781604352,0.343752633141574,7.01503809296022,2.29886313907772e-12,4.81366443369127e-10,"Up"
"TMIGD2",8.55951960622409,2.06889365449873,0.295417579358528,7.00328551534118,2.50028564487874e-12,5.17725814199558e-10,"Up"
"MS4A1",71.2172907808868,3.00318232190351,0.429391606165338,6.99404058855106,2.67080235798583e-12,5.42504979989926e-10,"Up"
"SNX20",259.977083264175,1.71013252528952,0.244526324477504,6.99365407362039,2.6781744021825e-12,5.42504979989926e-10,"Up"
"PI16",314.370200137604,3.58264650128802,0.513242802399241,6.98041255433165,2.94314506538606e-12,5.89768295038006e-10,"Up"
"SH2D1A",92.3998070658299,2.31991171303722,0.33345342842613,6.95722855208594,3.47031728111393e-12,6.8800886011531e-10,"Up"
"BTG2",1832.03524657352,1.28536861240195,0.18511221089972,6.94372675986384,3.81888819547827e-12,7.49145267483505e-10,"Up"
"IRF8",451.02603771097,1.55816719666376,0.224795255368472,6.9314950358258,4.16416070086751e-12,8.08367696055906e-10,"Up"
"KIR2DL4",47.6577035766135,2.52398673117771,0.364251490321328,6.92924201614426,4.23101443460349e-12,8.12878195910006e-10,"Up"
"SPIB",69.0326624038084,2.14827760817268,0.310226382651113,6.92487076635475,4.36373700427221e-12,8.2982247766956e-10,"Up"
"KSR2",9.49717967077126,3.03065023106256,0.437832153148569,6.92194533742745,4.45483156396073e-12,8.38588293191638e-10,"Up"
"IL15RA",244.013616101859,1.35905261041069,0.19695037488765,6.90048247527309,5.18262149740661e-12,9.65833342256697e-10,"Up"
"ZAP70",315.767401437832,1.87526898029675,0.272357859194176,6.88531252905678,5.76608037019832e-12,1.06392746315857e-09,"Up"
"TMC8",708.403585053428,1.37347777316898,0.199688215373907,6.87811131266413,6.06512726573817e-12,1.09849294311932e-09,"Up"
"MYO1G",557.784861828923,1.55093627906068,0.225493438664734,6.87796633128041,6.07130141346265e-12,1.09849294311932e-09,"Up"
"GZMM",142.659207727956,1.82661084979695,0.265823004297327,6.87153038024454,6.35167606476989e-12,1.13817149176011e-09,"Up"
"TNFRSF9",181.56573147902,2.12231489045794,0.309276935778554,6.86218286894032,6.78161705746779e-12,1.20364014745686e-09,"Up"
"NIBAN3",31.5478692100389,2.0830788232596,0.303695832612381,6.85909584382844,6.92977364623908e-12,1.21833265727652e-09,"Up"
"IL18RAP",22.4125352457496,1.7274018475147,0.251975125843551,6.85544591646408,7.10904141708769e-12,1.23816912008267e-09,"Up"
"SELPLG",935.010801087707,1.39651511928909,0.204630693834592,6.82456328090217,8.81931924326776e-12,1.50786085704163e-09,"Up"
"TMEM156",21.4461372616328,2.01095166677978,0.294624486799478,6.825473634676,8.76356960788594e-12,1.50786085704163e-09,"Up"
"IL10RA",947.569722035792,1.47298887929087,0.216076594489364,6.81697563205245,9.29770276043047e-12,1.57519989675802e-09,"Up"
"SCT",8.09876930161687,2.28986940436063,0.336861738067962,6.79765359370867,1.06336757748599e-11,1.78530794360621e-09,"Up"
"CCL5",2814.79125511627,2.09614308066985,0.308840033515468,6.78714821006153,1.1437170130993e-11,1.90306341572487e-09,"Up"
"GPR15",24.4984383170586,3.0707813468606,0.45258718737248,6.78494980091724,1.16126882474778e-11,1.91516865646014e-09,"Up"
"CRB2",18.0618233809529,1.97155640276357,0.291057316605333,6.77377372181629,1.25465855630612e-11,2.05103656625621e-09,"Up"
"GZMB",508.655305104681,2.21018790297769,0.328724894882271,6.72351847209272,1.77387983496896e-11,2.78904994817309e-09,"Up"
