"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"261","NLRP7",6.05433457313562,2.01263731905364,0.363470389280073,5.5372800052298,3.07205203414651e-08,2.19351577426645e-06,"Up"
"262","CEACAM4",14.8182432864123,1.33923856487246,0.242291587772836,5.52738366685714,3.2504161864651e-08,2.31201358973144e-06,"Up"
"263","SAMD3",20.0856931190759,1.81383654606024,0.328683330749041,5.51849265348096,3.41919762878386e-08,2.42282003840365e-06,"Up"
"264","LGR6",39.3015923463879,1.87159266000207,0.339324967018913,5.51563498685246,3.47522880408589e-08,2.45319560579336e-06,"Up"
"265","TIMP4",33.972449443632,2.34210025307749,0.424940097897595,5.51160096367725,3.55584357719795e-08,2.5006302228174e-06,"Up"
"266","SIGLEC8",73.7079092397901,1.9864003016768,0.360492371829973,5.5102422600323,3.58340161337615e-08,2.51053655890519e-06,"Up"
"267","WNT6",32.9525971685065,1.66073982168727,0.30156629147857,5.50704726826303,3.64902307593727e-08,2.54693610648565e-06,"Up"
"268","LHFPL4",15.9154873428198,2.91900958531457,0.530148604507812,5.50602144473165,3.67033839678061e-08,2.55225471501506e-06,"Up"
"269","IL4I1",656.286749645898,1.5846444180674,0.287877057995117,5.50458737178797,3.70033914125331e-08,2.56355093815601e-06,"Up"
"270","TMEM155",11.8752558859999,2.18812496400136,0.397769335408949,5.50098956660834,3.77665560582973e-08,2.60673162482381e-06,"Up"
"271","RAB19",6.82044046693494,1.47454175449694,0.268331155141345,5.49523127018261,3.901987122328e-08,2.68330007423265e-06,"Up"
"272","ADAM28",121.4500746976,1.40836998966565,0.256431058917414,5.49219737894242,3.96963378871722e-08,2.71978291494611e-06,"Up"
"273","PRDM8",33.1463974968066,1.17535339472122,0.214533693412863,5.47864242685317,4.28601513406853e-08,2.92579406734436e-06,"Up"
"274","GZMK",58.3487970684538,2.07022214779935,0.377985730185529,5.47698492951892,4.32634047989725e-08,2.94254310888194e-06,"Up"
