"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"SLC23A3",15.5934716981514,-1.41769766932349,0.313183527464026,-4.52673127735408,5.99030343297793e-06,0.00179312708615528,"Down"
"EFNA3",293.17390532419,-1.40610205849674,0.31304405720675,-4.49170660207767,7.06547145622534e-06,0.0020056966908434,"Down"
"SCNN1D",274.538299366825,-1.13347087252058,0.255173775303125,-4.44195674564954,8.91444827425805e-06,0.00249103113963798,"Down"
"RPS15A",2679.90180907623,-0.625461023754226,0.141852787712939,-4.40922616917436,1.03740639855512e-05,0.00251603420604525,"Down"
"CENPT",1518.30386655711,-0.670689929843174,0.15216244593899,-4.4077231126535,1.0446297008743e-05,0.00251603420604525,"Down"
"PFDN4",829.389728584667,-0.758057070642965,0.17087099154721,-4.43642928374721,9.14633626338158e-06,0.00251603420604525,"Down"
"PCDHGB5",280.275168357434,1.77171159311576,0.401301350435061,4.41491560194104,1.01049406111216e-05,0.00251603420604525,"Up"
"ALB",56.7893311008077,-3.23997046456654,0.732606444143665,-4.42252520499421,9.75539645010434e-06,0.00251603420604525,"Down"
"MYOZ2",42.5050033835011,-2.32744614150992,0.525732678367298,-4.4270524494273,9.55295100360411e-06,0.00251603420604525,"Down"
"SOX15",426.716971327221,-1.81564042920784,0.411381829575647,-4.41351634582578,1.01705035205153e-05,0.00251603420604525,"Down"
"KCNK7",168.065279692348,-1.73256461332596,0.39263354937907,-4.41267593170764,1.02100766552878e-05,0.00251603420604525,"Down"
"SLC13A5",20.2097957589078,-2.04378543005771,0.463911296801036,-4.40555219101348,1.05514742481209e-05,0.00251603420604525,"Down"
"PLIN5",19.9266150916035,-1.63325372676726,0.368844993222422,-4.42802195171014,9.51012246573474e-06,0.00251603420604525,"Down"
"PROC",18.1712690395422,-1.44271014191142,0.3273640258219,-4.40705156374243,1.04787249212785e-05,0.00251603420604525,"Down"
"NPTX2",883.230552359031,1.91348255704353,0.435618633777796,4.39256360649525,1.12021841086191e-05,0.00253594760251322,"Up"
"KRT2",1808.72229513826,-3.40178811935733,0.77347176511307,-4.39807666264332,1.09214404556797e-05,0.00253594760251322,"Down"
"VSIG10L",1054.75801237962,-1.46045436428531,0.332435470136896,-4.39319656137745,1.11696051819127e-05,0.00253594760251322,"Down"
"RPH3A",103.241786245186,1.88692099231263,0.42916098432182,4.39676732332606,1.09875017554269e-05,0.00253594760251322,"Up"
"ODAM",4.16555296328333,3.30899384584231,0.755155436627409,4.38187118220398,1.1766437472297e-05,0.00263038709693199,"Up"
"RPS21",18159.9220783017,-0.695067215632174,0.158906370917372,-4.37406764511407,1.21952562111155e-05,0.00267918852646633,"Down"
"CSMD3",8.13165385599746,1.98556703330477,0.454105551566699,4.37247909974765,1.22843580390427e-05,0.00267918852646633,"Up"
"COL20A1",131.478199786909,-2.36211621590721,0.542962861112624,-4.35041949474561,1.35877335327088e-05,0.00292774730721643,"Down"
"PIN4",801.600785926169,-0.504493095687103,0.11634180501171,-4.33630108830032,1.44900430710673e-05,0.00299252541089766,"Down"
"TRIM58",326.310758703355,1.89537554626054,0.437167010763342,4.33558685718532,1.45371757149839e-05,0.00299252541089766,"Up"
"AMY2B",191.876950452585,-1.40295387636361,0.323801269994534,-4.33276211791045,1.47250187966335e-05,0.00299252541089766,"Down"
"TMEM91",141.209317229912,-0.866930729382328,0.200020663985097,-4.33420583708751,1.46287252210937e-05,0.00299252541089766,"Down"
"CRB3",103.12157365955,-1.85779365253216,0.428168803488208,-4.33892809891116,1.4317935327551e-05,0.00299252541089766,"Down"
"PAPPA2",18.8471224916468,1.64975125619636,0.381508059064578,4.32428940096676,1.53024306871642e-05,0.00307492888100274,"Up"
"SS18L1",1708.34168357671,-0.914414640445443,0.212180227617523,-4.30961287351322,1.6354057266478e-05,0.00319204015098882,"Down"
"EEF1A2",942.45458405834,-1.93114217259095,0.447869644473242,-4.31183983201684,1.6190170007019e-05,0.00319204015098882,"Down"
"ANO9",403.431741111472,-1.55591129345242,0.361108090850604,-4.30871346523256,1.6420694133917e-05,0.00319204015098882,"Down"
"PAGE1",18.2914392961631,3.59133511222369,0.835591131745486,4.29795742891821,1.72379259392412e-05,0.00331487169352032,"Up"
"ITGBL1",119.984896352822,1.27117696727388,0.296056881950764,4.29369166795887,1.75726474075159e-05,0.00332278416580684,"Up"
"CEACAM19",379.191842863849,-1.55862973857598,0.36308771717853,-4.29270852423137,1.76506651616892e-05,0.00332278416580684,"Down"
"CPA4",573.905365338984,-1.83015122961784,0.427389150576506,-4.28216586019823,1.85082937543019e-05,0.0033991630116012,"Down"
"GCNT3",32.4248957618912,-1.64416411063999,0.384083340133487,-4.28074831381275,1.86265922129791e-05,0.0033991630116012,"Down"
